y,X,term,contrast,SUBJ,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
Hippocampal_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.391172723322386,0.251749556730825,-1.55381692981742,0.120228091044597,3.05615407674291,-0.884592787638727,0.102247340993954,0.874838408954312,,0,0.977814929284746,
Hippocampal_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.754566155843881,0.234784946305284,3.2138608872425,0.00130963106612999,9.5766238347532,0.294396116973355,1.21473619471441,0.874838408954312,,0,0.977814929284746,
Hippocampal_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,PD - CON,NA,NA,1.14573887916627,0.337424277285576,3.39554370059917,0.000684924389982139,10.51176764435,0.484399448177081,1.80707831015545,0.874838408954312,,0,0.977814929284746,
Hippocampal_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.387917852990054,0.252326208611849,-1.53736647145832,0.124203592114243,3.00922119628497,-0.882468134224819,0.106632428244711,0.806979512041485,,0,0.278059431684606,
Hippocampal_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.563027933029419,0.2353227323668,2.39257774787275,0.0167304830218294,5.90137709208892,0.101803852846934,1.0242520132119,0.806979512041485,,0,0.278059431684606,
Hippocampal_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,PD - CON,NA,NA,0.950945786019473,0.338197174835633,2.81180878131712,0.00492637804993436,7.66525694025242,0.288091503668436,1.61380006837051,0.806979512041485,,0,0.278059431684606,
Hippocampal_tail_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.115249745940287,0.290679815173717,-0.396483484315588,0.691748389333139,0.53168071521917,-0.684971714713532,0.454472222832959,0.267164305529297,,0,0.449131599517989,
Hippocampal_tail_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.590732104071138,0.271091816514916,2.17908497447629,0.0293253562543853,5.09170755506525,0.0594019071983619,1.12206230094391,0.267164305529297,,0,0.449131599517989,
Hippocampal_tail_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,PD - CON,NA,NA,0.705981850011425,0.389603177179056,1.81205362626436,0.0699779108380254,3.83695659562582,-0.0576263455219017,1.46959004554475,0.267164305529297,,0,0.449131599517989,
parasubiculum_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.776173428859124,0.30509491972096,-2.54403917826299,0.0109578793217213,6.51188756921978,-1.37414848337834,-0.178198374339903,0.782825198867615,,0,0.422171527398866,
parasubiculum_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.389994433550305,0.284535535069671,1.37063524756165,0.170488689428695,2.55225206382791,-0.167684967508084,0.947673834608694,0.782825198867615,,0,0.422171527398866,
parasubiculum_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,PD - CON,NA,NA,1.16616786240943,0.408923994686886,2.85179612241235,0.00434729734478576,7.84566550876613,0.364691560408885,1.96764416440997,0.782825198867615,,0,0.422171527398866,
HATA_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.312722224768905,0.292032199953635,-1.07084843664005,0.284237583863396,1.81483076455589,-0.88509481900403,0.259650369466219,0.771800706952451,,0,0.958543563056666,
HATA_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.671267137039543,0.272353066868098,2.46469461408577,0.0137130071498704,6.18831121278722,0.137464934899043,1.20506933918004,0.771800706952451,,0,0.958543563056666,
